Order id,order date,ship date,customer id,product id,product name,category,region,state,City,Quantity,Unit price,discount(%),Sales amount,cost price,profit,Payment Mode,Delivery status,Supplier name,Supplier email,stock left,Auto reorder,reorder quantity
ord1051,2025-05-04,2025-05-06,Cust907,prod8355,Rice bag,Grocery,West,Missouri,Lindseyhaven,4,4277,5,16252.6,13451.33,2801.27,UPI,Pending,Tran PLC,hblackwell@smith.org,25,No,0
ord1052,2025-06-08,2025-06-09,Cust596,prod8676,Stapler,Office supplies,North,Illinois,Henryport,1,3575,0,3575.0,2389.06,1185.94,NB,Delivered,Patrick Ltd,dtorres@atkins.com,19,No,0
ord1053,2025-07-22,2025-07-24,Cust398,prod3680,Monitor,Electronics,West,Mississippi,West Harold,6,1420,0,8520.0,6649.33,1870.67,NB,Delivered,Thompson-Hughes,elizabethhill@alvarez.net,17,No,0
ord1054,2025-09-17,2025-09-22,Cust307,prod5359,Wheat,Grocery,West,Iowa,Andresland,2,2360,15,4012.0,2921.52,1090.48,UPI,Pending,"Bradley, Ramirez and Young",stevenmarshall@ware.com,49,No,0
ord1055,2025-04-13,2025-04-14,Cust348,prod6839,Headphones,Electronics,North,Florida,North Christophermouth,7,3509,15,20878.55,15069.65,5808.9,NB,Returned,Lowery and Sons,rebecca70@brown.com,12,No,0
ord1056,2025-05-01,2025-05-07,Cust470,prod7369,Sugar,Grocery,West,North Carolina,Kristenland,1,523,20,418.4,257.46,160.94,UPI,Cancelled,Johnson PLC,danielbryant@price-gonzales.info,14,No,0
ord1057,2025-10-24,2025-10-25,Cust277,prod3025,Rice bag,Grocery,South,Pennsylvania,Racheltown,2,3459,5,6572.1,5543.14,1028.96,Cash,Returned,Franco-Mueller,preston10@mcneil.info,19,No,0
ord1058,2025-07-01,2025-07-03,Cust704,prod4634,Mouse,Electronics,South,Kansas,North Sarah,10,2502,0,25020.0,22148.25,2871.75,CC,Delivered,Hamilton and Sons,agarrison@maldonado-blair.com,29,No,0
ord1059,2025-08-20,2025-08-22,Cust534,prod1727,Laptop,Electronics,East,Colorado,New Colin,4,118,15,401.2,298.03,103.17,Cash,Delivered,Caldwell-Mendez,williamsebony@lam-winters.com,24,No,0
ord1060,2025-07-17,2025-07-21,Cust165,prod3597,Monitor,Electronics,South,Oregon,East Jerryhaven,7,3859,10,24311.7,19068.74,5242.96,CC,Cancelled,Miller-Hancock,sandrareyes@jones.info,3,Yes,46
ord1061,2025-02-11,2025-02-18,Cust896,prod9820,Study Table,Furniture,West,Michigan,Davidstad,8,3881,15,26390.8,18368.26,8022.54,UPI,Delivered,Abbott LLC,gregghall@jacobs.info,12,No,0
ord1062,2025-01-28,2025-02-04,Cust623,prod9552,Mouse,Electronics,East,Mississippi,East Robin,10,4035,15,34297.5,27311.72,6985.78,CC,Cancelled,Fleming and Sons,ashley56@barton.info,18,No,0
ord1063,2025-09-04,2025-09-09,Cust987,prod3252,Monitor,Electronics,East,Connecticut,Port Ian,5,4869,10,21910.5,13497.59,8412.91,CC,Pending,"Rodriguez, Byrd and Evans",mcombs@allen.biz,39,No,0
ord1064,2025-09-29,2025-09-30,Cust287,prod2176,Monitor,Electronics,East,Hawaii,Port Anna,9,4679,10,37899.9,28171.17,9728.73,Cash,Returned,Aguilar-Evans,caldwelldonna@hawkins.com,10,No,0
ord1065,2025-11-28,2025-12-01,Cust489,prod6922,Cooking oil,Grocery,South,Pennsylvania,Melaniefurt,1,1518,20,1214.4,1018.26,196.14,UPI,Returned,Daniels-Ware,david15@garcia.info,6,Yes,24
ord1066,2025-01-18,2025-01-20,Cust966,prod6449,Sugar,Grocery,West,West Virginia,Mooreborough,3,4455,20,10692.0,8639.19,2052.81,Cash,Cancelled,"Martinez, Daniels and Santiago",briancohen@richards.org,21,No,0
ord1067,2024-12-10,2024-12-16,Cust132,prod7661,Keyboard,Electronics,West,Mississippi,Vazquezview,1,1710,5,1624.5,1024.12,600.38,Cash,Returned,May-Garcia,george98@parsons-johnson.com,37,No,0
ord1068,2025-04-26,2025-05-01,Cust829,prod8111,Wheat,Grocery,West,Idaho,Bellshire,4,1645,15,5593.0,3389.05,2203.95,NB,Delivered,Newman Ltd,connie11@robinson.com,40,No,0
ord1069,2025-02-07,2025-02-08,Cust789,prod8235,Stapler,Office supplies,East,New York,Tatefurt,5,2355,15,10008.75,8849.78,1158.97,UPI,Returned,"Johnson, Cooper and Douglas",jessicanunez@martin.biz,34,No,0
ord1070,2025-06-12,2025-06-17,Cust479,prod5820,Sugar,Grocery,West,Montana,Port Stephanie,10,379,20,3032.0,2691.13,340.87,CC,Pending,"Perez, Collins and Malone",stoneamanda@lawson.com,36,No,0
ord1071,2025-04-22,2025-04-26,Cust361,prod6479,Calculator,Office supplies,North,Utah,Ericport,7,4236,5,28169.4,18069.32,10100.08,UPI,Cancelled,Lopez PLC,higginsnancy@morales.com,34,No,0
ord1072,2025-09-27,2025-10-03,Cust308,prod8901,Keyboard,Electronics,East,Alaska,East Roberthaven,5,346,15,1470.5,981.52,488.98,Cash,Delivered,Scott and Sons,jessica92@price.biz,4,Yes,38
ord1073,2025-01-20,2025-01-26,Cust965,prod4690,Sugar,Grocery,South,Delaware,Ramirezton,9,1017,5,8695.35,7189.54,1505.81,Cash,Returned,Stevenson Ltd,tday@drake.net,20,No,0
ord1074,2025-06-12,2025-06-15,Cust968,prod1876,Bed,Furniture,South,South Dakota,West Jamesshire,7,2210,0,15470.0,10663.98,4806.02,NB,Returned,Ellis LLC,burkeryan@marshall.net,29,No,0
ord1075,2024-12-21,2024-12-24,Cust101,prod3458,Mouse,Electronics,East,Louisiana,Williamville,5,4842,10,21789.0,17233.67,4555.33,Cash,Cancelled,"Williams, Curtis and Brown",nwelch@colon-king.com,28,No,0
ord1076,2025-10-30,2025-10-31,Cust112,prod7065,Sugar,Grocery,North,North Dakota,East Derekfurt,2,2787,0,5574.0,4286.72,1287.28,UPI,Pending,Walters-Grant,moralesalison@morgan-santos.net,2,Yes,29
ord1077,2025-04-18,2025-04-23,Cust857,prod5129,Bookshelf,Furniture,South,Texas,North Tracychester,3,4301,20,10322.4,8331.66,1990.74,UPI,Returned,Robbins PLC,joelgrant@arnold.net,16,No,0
ord1078,2025-04-23,2025-04-25,Cust544,prod1377,Bookshelf,Furniture,North,Pennsylvania,East Stephen,4,4284,10,15422.4,9277.62,6144.78,NB,Pending,Escobar PLC,shawnanderson@martin.org,2,Yes,32
ord1079,2025-02-05,2025-02-11,Cust146,prod3984,Stapler,Office supplies,South,Connecticut,Lake Michaelfort,1,3122,0,3122.0,2380.96,741.04,NB,Pending,Davis-Hill,vfry@archer-gillespie.org,13,No,0
ord1080,2025-09-29,2025-10-03,Cust151,prod8756,Monitor,Electronics,South,Utah,Lewisshire,2,3158,20,5052.8,4383.74,669.06,Cash,Cancelled,Moss-Chambers,austinlindsey@pugh.org,35,No,0
ord1081,2025-06-28,2025-07-04,Cust316,prod1611,Cooking oil,Grocery,South,Nevada,Dustinhaven,10,3505,20,28040.0,24937.15,3102.85,CC,Returned,Miller-Bush,briandavis@simpson-hudson.info,18,No,0
ord1082,2025-04-21,2025-04-24,Cust591,prod2410,Bed,Furniture,North,Minnesota,Dayburgh,6,3102,0,18612.0,15861.76,2750.24,Cash,Pending,Hernandez PLC,jmonroe@gray-hogan.com,14,No,0
ord1083,2025-11-06,2025-11-09,Cust739,prod4165,Keyboard,Electronics,West,Utah,South Manuel,2,2788,15,4739.6,4001.52,738.08,NB,Delivered,Lozano Group,umueller@harrison-may.com,21,No,0
ord1084,2025-03-20,2025-03-24,Cust756,prod7395,Wheat,Grocery,East,Florida,Woodsburgh,5,3662,20,14648.0,11029.72,3618.28,Cash,Cancelled,"Robbins, Rogers and Gomez",vjackson@jones-ochoa.com,30,No,0
ord1085,2025-10-11,2025-10-14,Cust414,prod3984,Pen,Office supplies,West,South Carolina,Johnsonmouth,5,3415,20,13660.0,11365.41,2294.59,CC,Cancelled,"Davis, Rodriguez and Welch",nguyenmegan@owens.com,49,No,0
ord1086,2025-11-03,2025-11-04,Cust862,prod2057,Sofa,Furniture,North,West Virginia,Rosemouth,3,142,5,404.7,255.4,149.3,Cash,Delivered,"Lamb, Murphy and Jackson",bcameron@young.net,9,Yes,32
ord1087,2025-02-12,2025-02-15,Cust519,prod1919,Bookshelf,Furniture,South,Arkansas,New Dylanside,2,1233,15,2096.1,1595.62,500.48,Cash,Returned,"Campbell, Krueger and Roy",padillamonica@wyatt.com,48,No,0
ord1088,2025-02-24,2025-02-26,Cust101,prod2599,Laptop,Electronics,West,Nevada,Darrellbury,7,3570,15,21241.5,17121.77,4119.73,CC,Pending,"Freeman, Burton and Griffith",stewartstephen@kramer.com,4,Yes,21
ord1089,2025-01-22,2025-01-24,Cust378,prod7687,Biscuits,Grocery,West,Colorado,Ginamouth,5,1632,20,6528.0,4786.52,1741.48,UPI,Delivered,Foster and Sons,ehurley@clark.com,7,Yes,46
ord1090,2025-08-20,2025-08-21,Cust648,prod5571,Laptop,Electronics,North,Arkansas,Clarkton,5,3197,0,15985.0,11172.14,4812.86,NB,Pending,Lang-Reynolds,elizabethgray@green.com,35,No,0
ord1091,2025-08-16,2025-08-18,Cust737,prod3374,Biscuits,Grocery,West,Alaska,Port Danny,7,2297,15,13667.15,9754.63,3912.52,NB,Delivered,Horn Group,allen54@conner.org,42,No,0
ord1092,2025-08-16,2025-08-18,Cust842,prod7941,Headphones,Electronics,East,Kentucky,New Carol,9,167,5,1427.85,992.89,434.96,UPI,Returned,Price and Sons,marilyn98@daugherty.biz,27,No,0
ord1093,2025-01-10,2025-01-12,Cust771,prod8339,Laptop,Electronics,East,Mississippi,Sarahfurt,5,288,5,1368.0,1062.1,305.9,Cash,Delivered,"Johnson, Houston and Torres",justin96@richards-hawkins.com,19,No,0
ord1094,2025-01-01,2025-01-02,Cust170,prod6152,Cooking oil,Grocery,East,Kentucky,Brianshire,9,1507,0,13563.0,9532.39,4030.61,NB,Cancelled,Jones PLC,qruiz@anthony.com,41,No,0
ord1095,2025-03-07,2025-03-11,Cust184,prod9794,Office chair,Furniture,North,Wisconsin,South Timothy,3,4782,5,13628.7,10892.45,2736.25,UPI,Pending,Brown Group,nancy20@garrett.com,33,No,0
ord1096,2025-04-18,2025-04-25,Cust192,prod3289,Stapler,Office supplies,West,Montana,Whitneyfort,7,1659,10,10451.7,8789.3,1662.4,NB,Delivered,Freeman LLC,contrerasjoseph@lewis.com,44,No,0
ord1097,2025-02-01,2025-02-08,Cust438,prod2630,Stapler,Office supplies,East,Connecticut,Novakport,6,2719,15,13866.9,8802.98,5063.92,Cash,Returned,Nichols Ltd,jenniferrichardson@miller.org,47,No,0
ord1098,2025-05-13,2025-05-14,Cust411,prod2495,Bookshelf,Furniture,South,Connecticut,Lake Joanneshire,5,874,0,4370.0,3457.94,912.06,NB,Pending,Zimmerman PLC,henry22@boyd.com,5,Yes,30
ord1099,2025-08-11,2025-08-15,Cust569,prod8373,Sugar,Grocery,North,Nebraska,Scottmouth,2,2302,20,3683.2,3022.1,661.1,NB,Cancelled,"Kennedy, Johnston and Mack",sarah85@walker.org,45,No,0
ord1100,2025-03-07,2025-03-09,Cust522,prod7652,Cooking oil,Grocery,East,Indiana,Berryview,2,270,5,513.0,381.24,131.76,Cash,Delivered,Woods-Williams,christophercook@horn-george.com,1,Yes,42
ord1101,2025-04-27,2025-05-03,Cust293,prod3072,Headphones,Electronics,West,Kansas,North Sean,7,1369,10,8624.7,7438.13,1186.57,Cash,Pending,Smith-King,jeremyward@moore.com,41,No,0
ord1102,2025-04-27,2025-05-03,Cust115,prod9340,Sugar,Grocery,South,New Jersey,South Kristenland,3,3841,5,10946.85,8122.03,2824.82,CC,Delivered,Johnson LLC,qlee@cook.com,47,No,0
ord1103,2025-02-20,2025-02-22,Cust208,prod6608,Keyboard,Electronics,South,Montana,East Casey,8,4372,20,27980.8,16944.31,11036.49,UPI,Returned,"Padilla, Webb and Powers",leslieanderson@johnson-scott.info,29,No,0
ord1104,2025-07-18,2025-07-20,Cust216,prod3324,Sofa,Furniture,East,Kansas,Port Michaelfort,2,1525,10,2745.0,1662.58,1082.42,UPI,Returned,"Lopez, Sanchez and Ortega",whansen@keller.org,30,No,0
ord1105,2025-02-15,2025-02-16,Cust302,prod6184,Sofa,Furniture,West,Kentucky,Brianview,1,2157,10,1941.3,1487.73,453.57,Cash,Delivered,Wallace LLC,zarnold@payne.com,13,No,0
ord1106,2025-12-04,2025-12-09,Cust400,prod3320,Bookshelf,Furniture,North,Alaska,East Robert,5,4228,0,21140.0,13031.45,8108.55,NB,Pending,Carter-King,harrisjill@gilbert-cain.com,10,No,0
ord1107,2025-03-12,2025-03-13,Cust627,prod4540,Stapler,Office supplies,West,Idaho,Marquezburgh,10,3973,15,33770.5,23425.51,10344.99,NB,Cancelled,Marshall Group,renee94@garza.info,44,No,0
ord1108,2025-02-26,2025-03-01,Cust102,prod2435,Sofa,Furniture,West,Michigan,Youngside,4,131,15,445.4,334.75,110.65,Cash,Delivered,"Villarreal, Johnson and Clements",christian29@kennedy.com,18,No,0
ord1109,2025-01-18,2025-01-22,Cust226,prod9857,Calculator,Office supplies,North,Texas,Jamesmouth,1,2518,5,2392.1,1832.02,560.08,CC,Delivered,"Baxter, Coleman and Barnes",danielgalvan@zuniga-wolfe.com,42,No,0
ord1110,2025-11-18,2025-11-22,Cust289,prod4678,Sugar,Grocery,South,Arkansas,Suttonfort,2,2045,15,3476.5,2430.88,1045.62,CC,Cancelled,"Martinez, Montes and Paul",bwilliams@ortega.com,4,Yes,47
ord1111,2025-08-24,2025-08-28,Cust592,prod9747,File folder,Office supplies,North,Indiana,North Danielfurt,10,2928,20,23424.0,14439.0,8985.0,NB,Cancelled,Torres LLC,jennifer55@frederick-martin.com,21,No,0
ord1112,2025-08-15,2025-08-22,Cust247,prod8796,Wheat,Grocery,West,Pennsylvania,Coopertown,5,2918,20,11672.0,10271.34,1400.66,Cash,Delivered,Jones Group,tara78@maddox-banks.biz,44,No,0
ord1113,2025-01-27,2025-02-02,Cust792,prod7143,Study Table,Furniture,North,Illinois,Port Madelinechester,5,4379,10,19705.5,13891.21,5814.29,UPI,Returned,Willis-Bates,jamesphillips@glover.com,25,No,0
ord1114,2025-07-03,2025-07-08,Cust363,prod7340,Study Table,Furniture,West,New Jersey,New Kathleenburgh,6,1918,10,10357.2,7710.44,2646.76,NB,Returned,Medina LLC,csilva@hudson-graham.com,22,No,0
ord1115,2025-10-19,2025-10-20,Cust645,prod2883,Sofa,Furniture,East,South Dakota,North Brian,3,2739,20,6573.6,5647.02,926.58,NB,Pending,"Johnson, Torres and Bentley",fevans@gibson.com,9,Yes,32
ord1116,2025-09-13,2025-09-20,Cust514,prod7607,Laptop,Electronics,North,California,North Timothy,9,1953,5,16698.15,11270.37,5427.78,NB,Cancelled,Guerrero-Sanchez,franklinpam@harrell.com,28,No,0
ord1117,2025-02-03,2025-02-10,Cust748,prod7352,Keyboard,Electronics,South,Massachusetts,South Deborahville,6,4461,0,26766.0,19100.79,7665.21,CC,Cancelled,"Torres, Macdonald and Taylor",krodriguez@turner.info,14,No,0
ord1118,2025-10-20,2025-10-21,Cust826,prod3163,Notebook,Office supplies,East,Washington,Matthewland,10,2002,15,17017.0,15213.84,1803.16,NB,Returned,Lopez PLC,biancataylor@miller.net,29,No,0
ord1119,2025-11-02,2025-11-08,Cust185,prod9048,Cooking oil,Grocery,West,Wisconsin,West Charlotte,6,3960,20,19008.0,12919.31,6088.69,CC,Delivered,"Duffy, Rollins and Jensen",sarahhickman@klein-turner.org,30,No,0
ord1120,2025-09-28,2025-10-04,Cust538,prod5775,Bed,Furniture,West,Hawaii,Jasonchester,4,2902,15,9866.8,6396.28,3470.52,UPI,Pending,Romero-Rivera,wandapham@tucker.net,37,No,0
ord1121,2025-01-31,2025-02-01,Cust438,prod6114,Notebook,Office supplies,West,New Jersey,North Ryanshire,7,550,10,3465.0,3084.66,380.34,CC,Cancelled,Zamora and Sons,jorge12@reed.com,32,No,0
